year,country,name of performer,song title,"solo, duo or group",song genre,song rating,performance rating,alone on stage,special effects,props on stage,memorability rating,choreography,backup dancers,final placement,televoting,jury,total
2015,Latvia,Aminata,Love injected,solo,popera,5,4,no,no,no,3,no,no,6,-1,-1,186
2015,Romania,Voltaj,De la capat,group,pop rock,4,2,yes,yes,yes,2,no,no,15,-1,-1,35
2015,Spain,Edurne,Amanecer,solo,ethnic,2,3,no,yes,yes,2,yes,yes,21,-1,-1,15
2015,Hungary,Boggie,Wars for nothing,solo,power ballad,2,1,no,yes,no,2,no,no,20,-1,-1,19
2015,Georgia,Nuna Sublatti,Warrior,solo,pop,3,3,yes,yes,no,1,no,no,11,-1,-1,51
2015,Azerbaijan,Elnur Huseynov,Hour of the wolf,solo,pop ballad,3,3,no,yes,no,3,yes,yes,12,-1,-1,49
2015,Russia,Polina Gagarina,A million voices,solo,power ballad,4,3,no,yes,yes,3,no,no,2,-1,-1,303
2015,Albania,Elhaida Dani,I'm alive,solo,pop,3,2,no,no,no,1,no,no,17,-1,-1,34
2015,Italy,Il Volo,Grande Amore,group,pop ballad,4,2,yes,no,no,3,no,no,3,-1,-1,292
2016,Belgium,Laura Tesoro,What's the pressure,solo,dance pop,4,4,no,no,no,2,yes,yes,10,51,130,181
2016,Chech Republic,Gabriela Guncikova,I Stand,solo,power ballad,2,1,yes,no,no,1,no,no,25,0,46,46
2016,Netherlands,Douwe Bob,Slow Down,solo,country,2,1,no,no,yes,1,no,no,11,39,114,153
2016,Azerbaijan,Samra,Miracle,solo,pop,3,2,no,yes,no,1,yes,yes,17,73,44,117
2016,Hungary,Freddie,Pioneer,solo,pop,2,1,no,no,yes,1,yes,yes,19,56,52,108
2016,Italy,Franceska Michielin,No Degree of Separation,solo,pop ,2,2,yes,yes,yes,1,no,no,16,34,90,124
2016,Israel,Hovi Star,Made of Stars,solo,pop ballad,4,3,no,no,yes,2,yes,yes,14,11,124,135
2016,Bulgaria,Poli Genova,If Love Was A Crime,solo,dance pop,5,4,no,yes,no,3,yes,yes,4,180,127,307
2016,Sweden,Frans,If I Were Sorry,solo,dance pop,3,2,yes,no,no,1,no,no,5,139,122,261
2016,Germany,Jamie-Lee,Ghost,solo,pop,3,2,yes,yes,yes,1,no,no,26,1,10,11
2016,France,Amir,J'ai Cherche,solo,pop,4,3,yes,no,no,1,no,no,6,109,148,257
2016,Poland,Michal Szpak,Color of your life,solo,popera,4,3,no,no,yes,4,no,no,8,222,7,229
2016,Australia,Dami Im,Sound of silence,solo,pop ballad,4,3,yes,yes,yes,1,yes,no,2,191,320,511
2016,Cyprus,Alter Ego,Minus One,group,pop rock,3,3,yes,yes,yes,2,no,no,21,53,43,96
2016,Serbia,Sanja Vucic ZAA,Goodbye (Shelter),solo,pop ballad,3,3,no,yes,no,1,yes,yes,18,80,35,115
2016,Lithuania,Donny Montell,I've Been Waiting for This Night,solo,pop,3,1,yes,no,no,1,no,no,9,96,104,200
2016,Croatia,Nina Kraljic,Lighthouse,solo,ethnic,3,2,no,no,no,1,yes,yes,23,33,40,73
2016,Russia,Sergey Lazarev,You Are The Only One,solo,dance pop,4,5,no,yes,yes,3,yes,yes,3,361,130,491
2016,Spain,Barei,Say Yay!,solo,dance pop,3,3,no,no,no,1,yes,no,22,10,67,77
2016,Latvia,Justs,Heartbeat,solo,electro,4,2,yes,no,no,1,no,no,15,63,69,132
2016,Ukraine,Jamala,1944,solo,ethnic,5,5,yes,no,no,4,no,no,1,323,211,534
2016,Malta,Ira Losco,Walk on water,solo,electro,4,2,no,yes,no,1,yes,yes,12,16,137,153
2016,Georgia,Nina Kocharov & Young Georgian Lolitaz,Midnight Gold,group,pop rock,3,2,yes,yes,yes,1,no,no,20,24,80,104
2016,Austria,ZOE,Loin D'ici,solo,pop,3,3,yes,no,no,2,no,no,13,120,31,151
2016,United Kingdom,Joe and Jake,You're not alone,duo,pop,3,2,no,yes,yes,1,no,no,24,8,54,62
2016,Armenia,Iveta Mukuchyan,LoveWave,solo,electro,3,3,yes,yes,no,2,no,no,7,134,115,249
2017,Israel,IMRI,I feel alive,solo,dance pop,3,2,no,yes,no,2,yes,yes,23,5,34,39
2017,Poland,Kasia Mos,Flashlight,solo,electro,2,2,no,no,yes,1,no,no,22,41,23,64
2017,Belarus,Naviband,Story of my life,duo,ethnic,3,3,yes,yes,yes,2,no,no,17,33,50,83
2017,Austria,Nathan  Trent,Running on air,solo,pop,2,2,no,yes,yes,1,no,no,16,0,93,93
2017,Armenia,Artsvik,Fly with me,solo,ethnic,2,2,no,no,no,2,yes,yes,18,21,58,79
2017,Netherlands,O'G3NE,Lights and shadows,group,pop,3,2,yes,no,no,1,no,no,11,15,135,150
2017,Moldova,Sunstroke Project,"Hey, Mamma!",group,electro,4,4,no,no,yes,3,yes,yes,3,264,110,374
2017,Hungary,Joci Papai,Origo,solo,ethnic,4,4,no,yes,yes,3,yes,yes,8,152,48,200
2017,Italy,Francesco Gabbani,Occidentali's Karma,solo,pop,5,4,no,no,yes,3,yes,yes,6,208,126,334
2017,Denmark,Anja,Where I am,solo,pop,4,2,yes,yes,no,1,no,no,20,8,69,77
2017,Portugal,Salvador Sobral,Amar pelos dois,solo,sentimental ballad,5,5,yes,no,no,4,no,no,1,376,382,758
2017,Azerbaijan,Dihaj,Skeletons,solo,electro,3,3,no,no,yes,4,yes,yes,14,42,78,120
2017,Croatia,Jacques Houdek,My Friend,solo,popera,4,3,no,yes,yes,4,no,no,13,103,25,128
2017,Australia,Isaiah,Don't come easy,solo,pop,3,2,yes,no,no,2,no,no,9,2,171,173
2017,Greece,Demy,This is love,solo,dance pop,3,3,no,yes,yes,1,yes,yes,19,29,48,77
2017,Spain,Manel Navarro,Do it for your lover,solo,pop,2,2,no,no,yes,3,no,no,26,5,0,5
2017,Norway,JOWST,Grab the moment,solo,electro,2,2,no,yes,yes,3,no,no,10,29,129,158
2017,United Kingdom,Lucie Jones,Never give up on you,solo,pop ballad,3,3,yes,yes,yes,1,no,no,15,12,99,111
2017,Cyprus,Hovig,Gravity,solo,electro,2,2,no,yes,no,1,yes,yes,21,32,36,68
2017,Romania,Ilinca ft Alex Florea,Yodel it!,duo,outlier,2,2,no,no,yes,2,no,no,7,224,58,282
2017,Germany,Levina,Perfect Life,solo,pop,2,1,yes,no,no,2,no,no,25,3,3,6
2017,Ukraine,O Torvald,Time,group,rock,2,1,yes,no,yes,2,no,no,24,24,12,36
2017,Belgium,Blanche,City Lights,solo,electro,4,2,yes,no,no,2,no,no,4,255,108,363
2017,Sweden,Robin Bengtsson,I can't go on,solo,dance pop,4,4,no,no,yes,4,yes,yes,5,126,218,344
2017,Bulgaria,Kristian Kostov,Beautiful mess,solo,electro,4,4,yes,yes,no,3,no,no,2,337,278,615
2017,France,Alma,Requiem,solo,pop,4,3,yes,no,no,2,no,no,12,90,45,135
2018,Ukraine,Melovin,Under the ladder,solo,pop,3,3,no,yes,yes,4,no,no,17,119,11,130
2018,Spain,Amala & Alfred,Tu cancion,duo,pop,2,1,yes,no,no,1,no,no,23,18,43,61
2018,Slovenia,Lea Sirk,"Hvala, ne!",solo,electro,2,2,no,no,no,2,yes,yes,22,23,41,64
2018,Lithuania,Ieva Zasimauskaite,When we're old,solo,sentimental ballad,2,1,no,yes,no,1,no,no,12,91,90,181
2018,Austria,Cesar Sampson,Nobody but you,solo,outlier,3,2,no,yes,yes,1,no,no,3,71,271,342
2018,Estonia,Elina Nechayeva,La forza,solo,popera,3,2,yes,yes,no,2,no,no,8,102,143,245
2018,Norway,Alexander Rybak,That's how you write a song,solo,dance pop,2,2,no,yes,yes,2,yes,yes,15,84,60,144
2018,Portugal,Claudia Pascoal,O jardim,duo,outlier,2,2,yes,no,yes,2,no,no,26,18,21,39
2018,United Kingdom,SuRie,Storm,solo,dance pop,2,2,yes,yes,yes,2,no,no,24,25,23,48
2018,Serbia,Sanja Ilic & Balkanika,Nova deca,group,ethnic,4,4,no,yes,yes,3,yes,no,19,75,38,113
2018,Germany,Michael Schulte,You let me walk alone,solo,pop ballad,2,2,yes,yes,no,1,no,no,4,136,204,340
2018,Albania,Eugent Bushpepa,Mall,solo,ethnic,2,1,no,no,yes,1,no,no,11,58,126,184
2018,France,Madame Monsieur,Mercy,duo,electro,2,1,yes,no,yes,1,no,no,13,59,114,173
2018,Czech Republic,Mikolas Josef,Lie to me,solo,dance pop,4,4,no,yes,yes,2,yes,yes,6,215,66,281
2018,Denmark,Rasmussen,Higher ground,solo,outlier,2,2,no,no,yes,2,yes,yes,9,188,38,226
2018,Australia,Jessica Mauboy,We got love,solo,dance pop,3,2,yes,yes,no,1,no,no,20,9,90,99
2018,Finland,Saara Aalto,Monsters,solo,dance pop,2,3,no,yes,yes,1,yes,yes,25,23,23,46
2018,Bulgaria,Equinox,Bones,group,electro,3,3,yes,yes,yes,2,no,no,14,66,100,166
2018,Moldova ,DoReDoS,My lucky day,group,ethnic,3,4,no,no,yes,2,yes,yes,10,115,94,209
2018,Sweden,Benjamin Ingrosso,Dance you off,solo,dance pop,4,3,yes,yes,yes,2,yes,no,7,21,253,274
2018,Hungary,AWS,Viszlat nyar,group,rock,2,2,yes,yes,yes,2,no,no,21,65,28,93
2018,Israel,Netta,Toy,solo,electro,4,3,no,yes,yes,3,yes,yes,1,317,212,529
2018,Netherlands,Waylon,Outlaw in 'Em,solo,country,3,2,no,no,yes,2,yes,yes,18,32,89,121
2018,Ireland,Ryan O'Shaughnessy,Together,solo,pop,3,4,no,no,yes,3,yes,yes,16,62,74,136
2018,Cyprus,Eleni Foureira,Fuego,solo,dance pop,5,5,no,yes,no,5,yes,yes,2,253,183,436
2018,Italy,Ermal Meta & Fabrizio Moro,Non mi avete fatto niente,duo,outlier,3,2,yes,yes,no,2,no,no,5,249,59,308
2019,Malta,Michela,Chameleon,solo,dance pop,4,3,no,yes,yes,2,yes,yes,14,20,87,107
2019,Albania,Jonida Maliqi,Ktheju tokes,solo,ethnic,3,3,no,yes,no,1,no,no,17,47,43,90
2019,Czech Republic,Lake Malawi,Friend of a friend,group,dance pop,3,2,yes,yes,yes,1,no,no,11,7,150,157
2019,Germany,S!sters,Sister,duo,pop ballad,2,2,yes,no,no,1,no,no,25,0,24,24
2019,Russia,Sergey Lazarev,Scream,solo,debatable,3,2,yes,yes,yes,1,yes,no,3,244,126,370
2019,Denmark,Leonora,Love is forever,solo,pop  ,3,2,no,yes,yes,1,yes,yes,12,51,69,120
2019,San Marino,Serhat,Say na na na,solo,electro,2,2,no,yes,yes,1,yes,yes,19,65,12,77
2019,North Macedonia,Tamara Todevska,Proud,solo,power ballad,5,5,yes,yes,no,3,no,no,7,58,247,305
2019,Sweden,John Lundvik,Too late for love,solo,outlier,4,3,no,yes,no,1,no,no,5,93,241,334
2019,Slovenia,Zala Kralj & Gasper Santl,Sebi,duo,outlier,2,1,yes,no,yes,2,no,no,15,59,46,105
2019,Cyprus,Tamta,Replay,solo,dance pop,3,3,no,no,no,2,yes,yes,13,32,77,109
2019,Netherlands,Duncan Laurence,Arcade,solo,pop ballad,3,3,yes,no,yes,1,no,no,1,261,237,498
2019,Greece,Katherine Duska,Better Love,solo,pop ,2,4,no,no,yes,2,yes,yes,21,24,50,74
2019,Israel,Kobi Marimi,Home,solo,pop ballad,2,2,no,no,yes,1,no,no,23,35,0,35
2019,Norway,KEiiNO,Spirit in the sky,group,electro,3,3,yes,yes,no,2,no,no,6,291,40,331
2019,United Kingdom,Michael Rice,Bigger than us,solo,pop ,3,2,no,no,no,1,no,no,26,3,8,11
2019,Iceland,Hatari,Hatrid mun sigra,group,outlier,3,3,no,yes,yes,3,yes,yes,10,186,46,232
2019,Estonia,Victor Crone,Storm,solo,electro,2,2,yes,yes,yes,1,no,no,20,48,28,76
2019,Belarus,ZENA,Like it,solo,dance pop,3,3,no,no,yes,1,yes,yes,24,13,18,31
2019,Azerbaijan,Chingiz,Truth,solo,dance pop,3,2,yes,yes,yes,2,,,8,100,202,302
2019,France,Bilal Hassani,Roi,solo,power ballad,5,3,no,yes,no,3,yes,yes,16,38,67,105
2019,Italy,Mahmood,Soldi,solo,outlier,5,5,no,yes,no,3,yes,yes,2,253,219,472
2019,Serbia,Nevena Bozovic,Kruna,solo,sentimental ballad,3,3,yes,yes,no,2,no,no,18,54,35,89
2019,Switzerland,Luca Hanni,She got me,solo,dance pop,4,4,no,yes,no,2,yes,yes,4,212,152,364
2019,Australia,Kate Miller-Heidke,Zero Gravity,solo,popera,4,5,no,yes,yes,4,yes,yes,9,131,153,284
2019,Spain,Miki,La venda,solo,outlier,3,3,no,yes,yes,1,yes,yes,22,53,1,54
